	SampleID	Phylum	RA	Comparts	TreatmentID	Period	Treatment
1	HLbC1	Gammaproteobacteria	6.08	Rhizosphere	CK1	Maturity	CK
2	HLbC1	Betaproteobacteria	40.48	Rhizosphere	CK1	Maturity	CK
3	HLbC1	Actinobacteria	14.11	Rhizosphere	CK1	Maturity	CK
4	HLbC1	Alphaproteobacteria	14.68	Rhizosphere	CK1	Maturity	CK
5	HLbC1	Deltaproteobacteria	5.85	Rhizosphere	CK1	Maturity	CK
6	HLbC1	Gemmatimonadetes	10.44	Rhizosphere	CK1	Maturity	CK
7	HLbC1	Firmicutes	0.23	Rhizosphere	CK1	Maturity	CK
8	HLbC1	Bacteroidetes	4.13	Rhizosphere	CK1	Maturity	CK
9	HLbC1	Acidobacteria	2.29	Rhizosphere	CK1	Maturity	CK
10	HLbC1	Ignavibacteriae	1.38	Rhizosphere	CK1	Maturity	CK
11	HLbC1	Nitrospirae	0.11	Rhizosphere	CK1	Maturity	CK
12	HLbC1	Low_Abundance	0.23	Rhizosphere	CK1	Maturity	CK
13	HLbC2	Gammaproteobacteria	7.91	Rhizosphere	CK2	Maturity	CK
14	HLbC2	Betaproteobacteria	36.24	Rhizosphere	CK2	Maturity	CK
15	HLbC2	Actinobacteria	16.74	Rhizosphere	CK2	Maturity	CK
16	HLbC2	Alphaproteobacteria	13.42	Rhizosphere	CK2	Maturity	CK
17	HLbC2	Deltaproteobacteria	4.93	Rhizosphere	CK2	Maturity	CK
18	HLbC2	Gemmatimonadetes	12.61	Rhizosphere	CK2	Maturity	CK
19	HLbC2	Firmicutes	0.57	Rhizosphere	CK2	Maturity	CK
20	HLbC2	Bacteroidetes	3.33	Rhizosphere	CK2	Maturity	CK
21	HLbC2	Acidobacteria	1.83	Rhizosphere	CK2	Maturity	CK
22	HLbC2	Ignavibacteriae	1.95	Rhizosphere	CK2	Maturity	CK
23	HLbC2	Nitrospirae	0.23	Rhizosphere	CK2	Maturity	CK
24	HLbC2	Low_Abundance	0.23	Rhizosphere	CK2	Maturity	CK
25	HLbC3	Gammaproteobacteria	4.93	Rhizosphere	CK3	Maturity	CK
26	HLbC3	Betaproteobacteria	37.73	Rhizosphere	CK3	Maturity	CK
27	HLbC3	Actinobacteria	15.83	Rhizosphere	CK3	Maturity	CK
28	HLbC3	Alphaproteobacteria	14.79	Rhizosphere	CK3	Maturity	CK
29	HLbC3	Deltaproteobacteria	5.85	Rhizosphere	CK3	Maturity	CK
30	HLbC3	Gemmatimonadetes	13.88	Rhizosphere	CK3	Maturity	CK
31	HLbC3	Firmicutes	0.11	Rhizosphere	CK3	Maturity	CK
32	HLbC3	Bacteroidetes	2.75	Rhizosphere	CK3	Maturity	CK
33	HLbC3	Acidobacteria	1.83	Rhizosphere	CK3	Maturity	CK
34	HLbC3	Ignavibacteriae	1.95	Rhizosphere	CK3	Maturity	CK
35	HLbC3	Nitrospirae	0.23	Rhizosphere	CK3	Maturity	CK
36	HLbC3	Low_Abundance	0.11	Rhizosphere	CK3	Maturity	CK
37	HLbC4	Gammaproteobacteria	7	Rhizosphere	CK4	Maturity	CK
38	HLbC4	Betaproteobacteria	38.53	Rhizosphere	CK4	Maturity	CK
39	HLbC4	Actinobacteria	15.83	Rhizosphere	CK4	Maturity	CK
40	HLbC4	Alphaproteobacteria	12.96	Rhizosphere	CK4	Maturity	CK
41	HLbC4	Deltaproteobacteria	6.77	Rhizosphere	CK4	Maturity	CK
42	HLbC4	Gemmatimonadetes	10.67	Rhizosphere	CK4	Maturity	CK
43	HLbC4	Firmicutes	0.57	Rhizosphere	CK4	Maturity	CK
44	HLbC4	Bacteroidetes	3.33	Rhizosphere	CK4	Maturity	CK
45	HLbC4	Acidobacteria	1.38	Rhizosphere	CK4	Maturity	CK
46	HLbC4	Ignavibacteriae	2.29	Rhizosphere	CK4	Maturity	CK
47	HLbC4	Nitrospirae	0.46	Rhizosphere	CK4	Maturity	CK
48	HLbC4	Low_Abundance	0.23	Rhizosphere	CK4	Maturity	CK
49	HLbC5	Gammaproteobacteria	6.08	Rhizosphere	CK5	Maturity	CK
50	HLbC5	Betaproteobacteria	38.42	Rhizosphere	CK5	Maturity	CK
51	HLbC5	Actinobacteria	16.86	Rhizosphere	CK5	Maturity	CK
52	HLbC5	Alphaproteobacteria	14.22	Rhizosphere	CK5	Maturity	CK
53	HLbC5	Deltaproteobacteria	5.05	Rhizosphere	CK5	Maturity	CK
54	HLbC5	Gemmatimonadetes	11.7	Rhizosphere	CK5	Maturity	CK
55	HLbC5	Firmicutes	0.11	Rhizosphere	CK5	Maturity	CK
56	HLbC5	Bacteroidetes	2.87	Rhizosphere	CK5	Maturity	CK
57	HLbC5	Acidobacteria	1.72	Rhizosphere	CK5	Maturity	CK
58	HLbC5	Ignavibacteriae	2.52	Rhizosphere	CK5	Maturity	CK
59	HLbC5	Nitrospirae	0	Rhizosphere	CK5	Maturity	CK
60	HLbC5	Low_Abundance	0.46	Rhizosphere	CK5	Maturity	CK
61	HLbC6	Gammaproteobacteria	5.05	Rhizosphere	CK6	Maturity	CK
62	HLbC6	Betaproteobacteria	34.98	Rhizosphere	CK6	Maturity	CK
63	HLbC6	Actinobacteria	16.86	Rhizosphere	CK6	Maturity	CK
