diff	lwr	upr	p adj
Xs_st-ck_rhi	-2.43642341418859	-3.12477970585022	-1.74806712252696	0
Xs_st-Xs_rhi	-2.39102025914693	-3.07937655080857	-1.7026639674853	0
ck_st-ck_rhi	-2.33454284763332	-3.01322620467675	-1.6558594905899	4.44089209850063e-15
Xs_rhi-ck_st	2.28913969259167	1.61045633554824	2.96782304963509	1.84297022087776e-14
Xs_st-ck_bu	-3.58512737050527	-4.71181959719035	-2.45843514382018	4.04121180963557e-14
ck_st-ck_bu	-3.48324680395	-4.60405548009869	-2.36243812780131	4.91828799908944e-14
Xs_st-Xs_bu	-3.55736037560526	-4.79051802626419	-2.32420272494634	6.12843109593086e-14
Xs_bu-ck_st	3.45547980905	2.22769541990172	4.68326419819828	9.24815779512755e-14
ck_ro-ck_rhi	-1.83434862226514	-2.49599118387698	-1.17270606065331	1.54543045027822e-13
Xs_rhi-ck_ro	1.78894546722349	1.12730290561165	2.45058802883533	4.16888745746746e-13
ck_ro-ck_bu	-2.98305257858182	-4.09362534465288	-1.87247981251076	5.5166982093624e-13
ck_se-ck_bu	-3.63247654906666	-4.98984326315351	-2.27510983497981	6.5536465143623e-13
Xs_bu-ck_se	3.60470955416666	2.15775177516377	5.05166733316955	1.75929271151176e-11
Xs_se-ck_bu	-3.50623337000001	-4.92395666516317	-2.08851007483685	2.43128850385688e-11
ck_se-ck_rhi	-2.48377259274998	-3.50692625037355	-1.46061893512642	5.47986100940534e-11
Xs_bu-ck_ro	2.95528558368182	1.73683809345306	4.17373307391058	5.68971536551999e-11
Xs_rhi-ck_se	2.43836943770833	1.41521578008476	3.46152309533189	1.20304100015289e-10
Xs_ro-ck_bu	-2.64493039530909	-3.75550316138015	-1.53435762923803	1.23749233083004e-10
Xs_se-Xs_bu	-3.47846637510001	-4.98218900888402	-1.97474374131599	4.11000899980252e-10
Xs_ro-ck_rhi	-1.49622643899242	-2.15786900060426	-0.834583877380579	1.01207731084685e-09
Xs_ro-Xs_rhi	-1.45082328395076	-2.1124658455626	-0.789180722338923	3.29044658187172e-09
Xs_ro-Xs_bu	-2.61716340040909	-3.83561089063785	-1.39871591018033	7.04345493041103e-09
Xs_se-ck_rhi	-2.35752941368333	-3.45949962754841	-1.25555919981826	8.14063183529612e-09
Xs_se-Xs_rhi	-2.31212625864168	-3.41409647250675	-1.2101560447766	1.62618810639614e-08
Xs_st-Xs_ro	-0.940196975196173	-1.64224248708485	-0.238151463307493	0.00124959539628666
Xs_ro-ck_st	0.838316408640905	0.145752609687614	1.5308802075942	0.00576662780547321
Xs_rhi-ck_bu	-1.19410711135833	-2.29607732522341	-0.0921368974932548	0.0224049326618613
ck_rhi-ck_bu	-1.14870395631667	-2.25067417018175	-0.0467337424515986	0.0336018250214601
Xs_rhi-Xs_bu	-1.16634011645833	-2.37695185023257	0.0442716173159119	0.0692615495580148
Xs_ro-ck_se	0.987546153757566	-0.0448670017191382	2.01995930923427	0.0735134588177033
Xs_bu-ck_rhi	1.12093696141667	-0.0896747723575682	2.33154869519092	0.095118286434079
Xs_st-ck_ro	-0.602074791923446	-1.30412030381213	0.099970719965233	0.161802707887679
Xs_se-Xs_ro	-0.861302974690914	-1.97187574076197	0.249269791380145	0.281161271979059
ck_st-ck_ro	-0.500194225368179	-1.19275802432147	0.192369573585112	0.381626517125498
ck_se-ck_ro	-0.64942397048484	-1.68183712596154	0.382989184991864	0.584900121404713
Xs_ro-ck_ro	0.338122183272726	-0.337750878647304	1.01399524519276	0.84200269160614
Xs_se-ck_ro	-0.523180791418188	-1.63375355748925	0.587391974652872	0.884258652073699
ck_st-ck_se	0.149229745116661	-0.894186348008619	1.19264583824194	0.99998463517142
Xs_st-ck_st	-0.101880566555268	-0.82000877276534	0.616247639654804	0.999985667029966
Xs_se-ck_se	0.126243179066652	-1.2311235350202	1.4836098931535	0.999999641361374
Xs_rhi-ck_rhi	-0.0454031550416563	-0.692502345926171	0.601696035842859	0.999999970554151
Xs_st-Xs_se	-0.0788940005052585	-1.20558622719035	1.04779822617983	0.999999971078521
Xs_st-ck_se	0.0473491785613938	-1.00238432501713	1.09708268213992	0.999999999431854
Xs_se-ck_st	-0.022986566050009	-1.1437952421987	1.09782211009868	0.99999999999968
Xs_bu-ck_bu	-0.0277669949000003	-1.53148962868401	1.47595563888401	1
