SampleID	groupID
Bulk1	Bulk_CK
Bulk10	Bulk_CK
Bulk3	Bulk_CK
Bulk4	Bulk_CK
Bulk5	Bulk_CK
Bulk6	Bulk_Xs
Bulk7	Bulk_Xs
Bulk8	Bulk_Xs
Bulk9	Bulk_Xs
ELbC1	ECKC
ELbC2	ECKC
ELbC3	ECKC
ELbC4	ECKC
ELbC5	ECKC
ELbC6	ECKC
ExsC1	EXsC
ExsC3	EXsC
ExsC4	EXsC
ExsC5	EXsC
ExsC6	EXsC
HLbC1	HCKC
HLbC2	HCKC
HLbC3	HCKC
HLbC4	HCKC
HLbC5	HCKC
HLbC6	HCKC
HLbF1	HCKF
HLbF2	HCKF
HLbF3	HCKF
HLbF4	HCKF
HLbF5	HCKF
HLbF6	HCKF
HLbM1	HCKM
HLbM2	HCKM
HLbM3	HCKM
HLbM4	HCKM
HLbM5	HCKM
HLbM6	HCKM
HLbY1	HCKY
HLbY2	HCKY
HLbY3	HCKY
HLbY4	HCKY
HLbY5	HCKY
HLbY6	HCKY
HXsC1	HXsC
HXsC2	HXsC
HXsC3	HXsC
HXsC4	HXsC
HXsC5	HXsC
HXsC6	HXsC
HXsM1	HXsM
HXsM2	HXsM
HXsM3	HXsM
HXsM4	HXsM
HXsM5	HXsM
HXsM6	HXsM
HXsY1	HXsY
HXsY2	HXsY
HXsY3	HXsY
HXsY4	HXsY
HXsY5	HXsY
HXsY6	HXsY
HxsF1	HXsF
HxsF2	HXsF
HxsF3	HXsF
HxsF4	HXsF
HxsF5	HXsF
HxsF6	HXsF
RLBF1	RCKF
RLBF2	RCKF
RLBF3	RCKF
RLBF4	RCKF
RLBF5	RCKF
RLBF6	RCKF
RLbC1	RCKC
RLbC2	RCKC
RLbC3	RCKC
RLbC4	RCKC
RLbC5	RCKC
RLbC6	RCKC
RLbM1	RCKM
RLbM2	RCKM
RLbM3	RCKM
RLbM4	RCKM
RLbY1	RCKY
RLbY2	RCKY
RLbY3	RCKY
RLbY4	RCKY
RLbY5	RCKY
RLbY6	RCKY
RXsC1	RXsC
RXsC2	RXsC
RXsC3	RXsC
RXsC4	RXsC
RXsC5	RXsC
RXsC6	RXsC
RXsF1	RXsF
RXsF2	RXsF
RXsF3	RXsF
RXsF4	RXsF
RXsF5	RXsF
RXsF6	RXsF
RXsM1	RXsM
RXsM2	RXsM
RXsM3	RXsM
RXsM4	RXsM
RXsY1	RXsY
RXsY2	RXsY
RXsY3	RXsY
RXsY4	RXsY
RXsY5	RXsY
RXsY6	RXsY
SLBF1	SCKF
SLBF2	SCKF
SLBF3	SCKF
SLBF4	SCKF
SLbC1	SCKC
SLbC2	SCKC
SLbC3	SCKC
SLbC4	SCKC
SLbC5	SCKC
SLbC6	SCKC
SLbM1	SCKM
SLbM2	SCKM
SLbM3	SCKM
SLbY1	SCKY
SLbY2	SCKY
SLbY3	SCKY
SLbY4	SCKY
SLbY5	SCKY
SLbY6	SCKY
SXsC1	SXsC
SXsC2	SXsC
SXsC3	SXsC
SXsC4	SXsC
SXsC5	SXsC
SXsC6	SXsC
SXsF1	SXsF
SXsF2	SXsF
SXsF3	SXsF
SXsF4	SXsF
SXsM1	SXsM
SXsM2	SXsM
SXsM3	SXsM
SXsY1	SXsY
SXsY2	SXsY
SXsY3	SXsY
SXsY4	SXsY
SXsY5	SXsY
SXsY6	SXsY
