 OTUID	SampleType
Bulk1	Bulk_CK
Bulk3	Bulk_CK
Bulk4	Bulk_CK
Bulk5	Bulk_CK
Bulk6	Bulk_Xs
Bulk7	Bulk_Xs
Bulk8	Bulk_Xs
Bulk9	Bulk_Xs
ELbC1	Seed_CK
ELbC2	Seed_CK
ELbC3	Seed_CK
ELbC4	Seed_CK
ELbC5	Seed_CK
ExsC1	Seed_Xs
ExsC3	Seed_Xs
ExsC4	Seed_Xs
ExsC5	Seed_Xs
ExsC6	Seed_Xs
HLbC1	Rhizosphere_CK
HLbC2	Rhizosphere_CK
HLbC3	Rhizosphere_CK
HLbC4	Rhizosphere_CK
HLbC5	Rhizosphere_CK
HLbC6	Rhizosphere_CK
HLbF1	Rhizosphere_CK
HLbF2	Rhizosphere_CK
HLbF3	Rhizosphere_CK
HLbF4	Rhizosphere_CK
HLbF5	Rhizosphere_CK
HLbF6	Rhizosphere_CK
HLbM1	Rhizosphere_CK
HLbM2	Rhizosphere_CK
HLbM3	Rhizosphere_CK
HLbM4	Rhizosphere_CK
HLbM5	Rhizosphere_CK
HLbM6	Rhizosphere_CK
HLbY1	Rhizosphere_CK
HLbY2	Rhizosphere_CK
HLbY3	Rhizosphere_CK
HLbY4	Rhizosphere_CK
HLbY5	Rhizosphere_CK
HLbY6	Rhizosphere_CK
HXsC1	Rhizosphere_Xs
HXsC2	Rhizosphere_Xs
HXsC3	Rhizosphere_Xs
HXsC4	Rhizosphere_Xs
HXsC5	Rhizosphere_Xs
HXsC6	Rhizosphere_Xs
HXsM1	Rhizosphere_Xs
HXsM2	Rhizosphere_Xs
HXsM3	Rhizosphere_Xs
HXsM4	Rhizosphere_Xs
HXsM5	Rhizosphere_Xs
HXsM6	Rhizosphere_Xs
HXsY1	Rhizosphere_Xs
HXsY2	Rhizosphere_Xs
HXsY3	Rhizosphere_Xs
HXsY4	Rhizosphere_Xs
HXsY5	Rhizosphere_Xs
HXsY6	Rhizosphere_Xs
HxsF1	Rhizosphere_Xs
HxsF2	Rhizosphere_Xs
HxsF3	Rhizosphere_Xs
HxsF4	Rhizosphere_Xs
HxsF5	Rhizosphere_Xs
HxsF6	Rhizosphere_Xs
RLBF1	Root_CK
RLBF2	Root_CK
RLBF3	Root_CK
RLBF4	Root_CK
RLBF5	Root_CK
RLBF6	Root_CK
RLbC1	Root_CK
RLbC2	Root_CK
RLbC3	Root_CK
RLbC4	Root_CK
RLbC5	Root_CK
RLbC6	Root_CK
RLbM1	Root_CK
RLbM2	Root_CK
RLbM3	Root_CK
RLbY1	Root_CK
RLbY2	Root_CK
RLbY3	Root_CK
RLbY4	Root_CK
RLbY5	Root_CK
RLbY6	Root_CK
RXsC1	Root_Xs
RXsC2	Root_Xs
RXsC3	Root_Xs
RXsC4	Root_Xs
RXsC5	Root_Xs
RXsC6	Root_Xs
RXsF1	Root_Xs
RXsF2	Root_Xs
RXsF3	Root_Xs
RXsF4	Root_Xs
RXsF5	Root_Xs
RXsF6	Root_Xs
RXsM1	Root_Xs
RXsM2	Root_Xs
RXsM3	Root_Xs
RXsM4	Root_Xs
RXsY1	Root_Xs
RXsY2	Root_Xs
RXsY3	Root_Xs
RXsY4	Root_Xs
RXsY5	Root_Xs
RXsY6	Root_Xs
SLBF1	Stem_CK
SLBF4	Stem_CK
SLBF5	Stem_CK
SLBF6	Stem_CK
SLbC1	Stem_CK
SLbC2	Stem_CK
SLbC3	Stem_CK
SLbC4	Stem_CK
SLbC5	Stem_CK
SLbC6	Stem_CK
SLbM1	Stem_CK
SLbM2	Stem_CK
SLbM3	Stem_CK
SLbY1	Stem_CK
SLbY2	Stem_CK
SLbY3	Stem_CK
SLbY4	Stem_CK
SLbY5	Stem_CK
SLbY6	Stem_CK
SXsC1	Stem_Xs
SXsC2	Stem_Xs
SXsC3	Stem_Xs
SXsC4	Stem_Xs
SXsC5	Stem_Xs
SXsC6	Stem_Xs
SXsF3	Stem_Xs
SXsF4	Stem_Xs
SXsF5	Stem_Xs
SXsF6	Stem_Xs
SXsM1	Stem_Xs
SXsM2	Stem_Xs
SXsM3	Stem_Xs
SXsY1	Stem_Xs
SXsY2	Stem_Xs
SXsY3	Stem_Xs
SXsY4	Stem_Xs
SXsY5	Stem_Xs
SXsY6	Stem_Xs
