MethodID	sample1	sample2	Heterogeneous.Selection	Homogeneous.Selection	Dispersal.Limitation	Homogenizing.Dispersal	Drift.and.Others
CbMPDiCBraya	HLBM2	HLBM1	0	0.092167534	0.48450071	0.116777094	0.306554662
CbMPDiCBraya	HLBM3	HLBM1	0.000473261	0.07406531	0.44462849	0.121154756	0.359678183
CbMPDiCBraya	HLBM4	HLBM1	0	0.083885471	0.255560814	0.12647894	0.534074775
CbMPDiCBraya	HLBM5	HLBM1	0.000473261	0.078324657	0.243729295	0.081519167	0.59595362
CbMPDiCBraya	HLBM3	HLBM2	0.028513961	0.136417416	0.361689541	0.18185045	0.291528632
CbMPDiCBraya	HLBM4	HLBM2	0	0.12032655	0.228939896	0.077614766	0.573118788
CbMPDiCBraya	HLBM5	HLBM2	0.005205868	0.116777094	0.308092759	0.096426881	0.473497397
CbMPDiCBraya	HLBM4	HLBM3	0.002366304	0.083293895	0.387482253	0.074538571	0.452318978
CbMPDiCBraya	HLBM5	HLBM3	0.000354946	0.090392806	0.353762423	0.113582584	0.441907241
CbMPDiCBraya	HLBM5	HLBM4	0.002247989	0.106483673	0.078206342	0.147065783	0.665996214
CbMPDiCBraya	HLBF2	HLBF1	0.000946718	0.139863903	0	0.483375861	0.375813518
CbMPDiCBraya	HLBF3	HLBF1	0	0.227245831	0.001657001	0.498046469	0.273050699
CbMPDiCBraya	HLBF5	HLBF1	0.002129841	0.220921066	0	0.484440194	0.292508898
CbMPDiCBraya	HLBF6	HLBF1	0	0.199859982	0	0.262927944	0.537212074
CbMPDiCBraya	HLBF3	HLBF2	0.000946914	0.191834918	0	0.490180119	0.317038049
CbMPDiCBraya	HLBF5	HLBF2	0	0.216753431	0.00319451	0.442735447	0.337316611
CbMPDiCBraya	HLBF6	HLBF2	0.000354946	0.215925225	0	0.414221486	0.369498344
CbMPDiCBraya	HLBF5	HLBF3	0	0.254556703	0.005562495	0.480001764	0.259879038
CbMPDiCBraya	HLBF6	HLBF3	0	0.228052364	0.005444179	0.215622154	0.550881303
CbMPDiCBraya	HLBF6	HLBF5	0	0.260411737	0	0.211902508	0.527685755
CbMPDiCBraya	HLBY2	HLBY1	0.006744694	0.219856594	0.130870268	0.118446725	0.52408172
CbMPDiCBraya	HLBY3	HLBY1	0.001538097	0.325366777	0.127070516	0.081400852	0.464623758
CbMPDiCBraya	HLBY4	HLBY1	0	0.314167887	0.075963702	0.070524227	0.539344184
CbMPDiCBraya	HLBY5	HLBY1	0.024017984	0.272006626	0.090747752	0.093469001	0.519758637
CbMPDiCBraya	HLBY3	HLBY2	0	0.348948773	0.065083353	0.095846199	0.490121676
CbMPDiCBraya	HLBY4	HLBY2	0.000946746	0.324023669	0.06816568	0.106390533	0.500473373
CbMPDiCBraya	HLBY5	HLBY2	0.021652128	0.313450043	0.110641618	0.114542127	0.439714083
CbMPDiCBraya	HLBY4	HLBY3	0	0.340430443	0.011005049	0.216306354	0.432258154
CbMPDiCBraya	HLBY5	HLBY3	0.022479886	0.356720303	0.042711784	0.109086607	0.46900142
CbMPDiCBraya	HLBY5	HLBY4	0.021770583	0.360667102	0.06129329	0.116555586	0.439713439
CbMPDiCBraya	HLBC2	HLBC1	0.000828206	0.258045433	0.016682442	0.277449124	0.446994794
CbMPDiCBraya	HLBC3	HLBC1	0.000709891	0.285257927	0.017274018	0.229413157	0.467345007
CbMPDiCBraya	HLBC4	HLBC1	0.001301467	0.238050166	0.032773308	0.28371983	0.44415523
CbMPDiCBraya	HLBC6	HLBC1	0	0.291280263	0.015386438	0.148069039	0.54526426
CbMPDiCBraya	HLBC3	HLBC2	0.004377662	0.406767629	0.025911027	0.173805017	0.389138665
CbMPDiCBraya	HLBC4	HLBC2	0	0.266564127	0.049100805	0.391150024	0.293185045
CbMPDiCBraya	HLBC6	HLBC2	0	0.395195882	0.014676127	0.272459826	0.317668165
CbMPDiCBraya	HLBC4	HLBC3	0.004614292	0.268930431	0.013251301	0.128963559	0.584240416
CbMPDiCBraya	HLBC6	HLBC3	0	0.396967164	0.021660253	0.150079725	0.431292858
CbMPDiCBraya	HLBC6	HLBC4	0	0.298261195	0.008994896	0.279795452	0.412948456
